Station  Lat(+N,deg)  Lon(+E,deg)  E Displacement  N Displacement  V Displacement  Sigma E  Sigma N  Sigma U 
PAJA      -40.6611      -72.1274      -16.27736799      -25.89724522      6.60390274      0.80316129      0.99048387      3.49183871
ATJN      -19.3008      -70.1368      15.20656286      19.69404918      -1.29448629      0.829      0.74064516      3.32019355
AREV      -16.4655      -71.4928      18.98476621      31.71540705      -3.53755855      0.7573871      0.68812903      2.96435484
BELE      -1.4088      -48.4625      -6.16809448      14.52533585      -3.84553558      0.89251613      0.82006452      3.60109677
COLO      -22.1674      -67.804      16.31526152      20.26217957      -1.50836502      0.82719355      0.80974194      3.53274194
ILHA      -20.4278      -51.3434      2.61875144      -0.4856551      -11.54020879      0.74803226      0.70748387      3.06019355
IQQE      -20.2735      -70.1317      -1.11712942      2.71597118      -4.86991161      1.28906452      1.07667742      5.453
PRCV      -24.9628      -53.4663      3.01937473      -15.65741144      -5.34381255      0.73712903      0.74048387      3.07454839
MRCG      -26.8353      -69.1302      -37.98718811      -24.77960946      -2.00259883      0.90783871      0.90458065      3.9196129
RODE      -30.2094      -69.1312      -7.59305968      -46.83502829      -6.33881961      0.82866667      0.9059      3.69596667
PEBA      -33.9458      -60.5625      8.01205773      -36.10928959      -7.98364935      0.7196129      0.86445161      3.22477419
SAJA      -30.5747      -59.9288      6.32327794      -44.9536057      -13.17342386      0.71712903      0.81477419      3.13119355
PTRE      -18.1943      -69.5743      20.62371192      30.57414375      -2.53068432      0.81590323      0.75493548      3.30580645
MNMI      -19.1314      -69.5957      3.99125443      -7.37085649      -1.74483979      1.04183871      0.99319355      4.60167742
GUAY      -31.8691      -59.0262      1.21262182      -14.55599434      -9.27665632      0.7448      0.83246667      3.07843333
SNLR      1.2925      -78.847      17.35957052      14.77071309      6.74816302      1.80133333      1.60859259      8.05203704
GOGY      -16.6647      -49.2547      7.46594817      -30.14823121      0.35940712      0.80196774      0.72406452      3.26167742
SVIC      -26.9937      -54.4875      -1.69063839      10.93388466      -7.90755625      0.72870588      0.75423529      3.09005882
SRZN      5.4556      -55.2031      -10.24361561      30.48896002      1.39820827      0.90745161      0.80019355      3.45793548
SPJA      -21.2411      -48.2867      1.10125708      -8.0967744      -3.97219434      0.84429032      0.79212903      3.66825806
SMAR      -29.7189      -53.7166      -3.75680928      18.03873813      -3.34878309      0.73048387      0.79096774      3.08312903
PMEC      8.4883      -80.3287      -54.04230605      -34.20859237      3.91957287      0.93710526      0.78468421      3.75863158
JBAL      -27.5844      -65.6227      2.929931      -4.68637006      -3.0370945      0.72980645      0.77503226      3.06841935
3ARO      -38.3821      -60.2742      6.92965624      -26.40765097      -4.20579157      0.67558065      0.83841935      2.83777419
CORD      -31.5284      -64.47      4.47049231      -24.20631947      -5.84418357      0.88258065      0.9056129      3.77970968
MGIN      -22.3186      -46.328      -2.59846768      2.15590007      -0.30441384      0.75190323      0.72429032      3.08912903
POLI      -23.5556      -46.7303      0.96271312      8.41535893      -9.88358167      0.87348387      0.81287097      3.82745161
TTAL      -25.4207      -70.4258      10.58478632      6.9073352      1.13152447      0.98616667      0.996      4.189
URUS      -17.9528      -67.1144      16.40306098      41.75892662      -9.4897247      0.81383333      0.7401      3.54063333
MTCN      -13.5558      -52.2714      -6.70118219      3.64202528      2.32649736      0.84183871      0.70567742      3.35754839
LPGS      -34.9067      -57.9323      -0.3622036      12.15944924      -7.01089819      1.16519355      1.22374194      5.51264516
APS1      -0.0595      -51.1665      13.59697645      -42.76198815      -7.23614118      1.01106452      0.89029032      3.96606452
TTUW      10.6395      -61.3991      -41.98064205      -43.31254505      -9.97353183      0.804      0.70087097      3.06680645
MTSF      -11.6193      -50.6635      -16.44086257      49.67771854      -2.6143175      0.77990323      0.66783871      2.99480645
UYTT      -33.2413      -54.3804      5.3236468      -35.766721      -1.46634287      0.79267742      0.91222581      3.47619355
SCFL      -27.5994      -48.5195      7.74678165      -30.55385796      -6.75845279      0.76558621      0.78537931      3.309
AMCO      -4.872      -65.334      9.37109881      -19.54953194      -20.75825059      0.92425806      0.8076129      3.78258065
MSCG      -20.4409      -54.5407      -1.32133911      41.90631712      -26.38534078      0.84759259      0.77496296      3.63203704
CN45      10.8371      -60.9383      19.19074951      18.04458623      2.94497992      0.9173871      0.73870968      3.5783871
